utc_timestamp,actual_mw,forecast_mw,baseline_previous_week_mw,error_mw,absolute_error_mw,absolute_percentage_error_pct
2020-01-04 02:00:00+00:00,43801.0000000000,45409.2050474965,40202.0000000000,1608.2050474965,1608.2050474965,3.6716171948
2020-01-04 03:00:00+00:00,44501.0000000000,45506.4157424906,40883.0000000000,1005.4157424906,1005.4157424906,2.2593104481
2020-01-04 04:00:00+00:00,45049.0000000000,45438.0936399142,41089.0000000000,389.0936399142,389.0936399142,0.8637120467
2020-01-04 05:00:00+00:00,46138.0000000000,44402.0054054412,41373.0000000000,-1735.9945945588,1735.9945945588,3.7626134522
2020-01-04 06:00:00+00:00,48876.0000000000,48724.5872269494,43751.0000000000,-151.4127730506,151.4127730506,0.3097896167
2020-01-04 07:00:00+00:00,51876.0000000000,51531.1675134362,46965.0000000000,-344.8324865638,344.8324865638,0.6647245095
2020-01-04 08:00:00+00:00,55337.0000000000,53971.5703889491,50213.0000000000,-1365.4296110509,1365.4296110509,2.4674803677
2020-01-04 09:00:00+00:00,57584.0000000000,55846.0522135246,50682.0000000000,-1737.9477864754,1737.9477864754,3.0181088262
2020-01-04 10:00:00+00:00,59443.0000000000,56664.5455053498,51465.0000000000,-2778.4544946502,2778.4544946502,4.6741491759
2020-01-04 11:00:00+00:00,59873.0000000000,56377.1077857750,51386.0000000000,-3495.8922142250,3495.8922142250,5.8388459142
2020-01-04 12:00:00+00:00,58499.0000000000,54598.3412501034,50320.0000000000,-3900.6587498966,3900.6587498966,6.6679067162
2020-01-04 13:00:00+00:00,57624.0000000000,54080.6485296423,49026.0000000000,-3543.3514703577,3543.3514703577,6.1490897375
2020-01-04 14:00:00+00:00,56651.0000000000,53843.0405125752,49858.0000000000,-2807.9594874248,2807.9594874248,4.9565929770
2020-01-04 15:00:00+00:00,58144.0000000000,54499.7098464262,52455.0000000000,-3644.2901535738,3644.2901535738,6.2676977050
2020-01-04 16:00:00+00:00,60436.0000000000,58237.3093812054,55652.0000000000,-2198.6906187946,2198.6906187946,3.6380478834
2020-01-04 17:00:00+00:00,59971.0000000000,58222.1198621278,55695.0000000000,-1748.8801378722,1748.8801378722,2.9162097312
2020-01-04 18:00:00+00:00,58093.0000000000,57045.2131790187,54137.0000000000,-1047.7868209813,1047.7868209813,1.8036369631
2020-01-04 19:00:00+00:00,54603.0000000000,53255.2927226317,51244.0000000000,-1347.7072773683,1347.7072773683,2.4681927318
2020-01-04 20:00:00+00:00,52028.0000000000,50263.6191261509,49084.0000000000,-1764.3808738491,1764.3808738491,3.3912141037
2020-01-04 21:00:00+00:00,50722.0000000000,49722.1948988928,47918.0000000000,-999.8051011072,999.8051011072,1.9711468418
2020-01-04 22:00:00+00:00,47994.0000000000,47072.3823051203,44642.0000000000,-921.6176948797,921.6176948797,1.9202768989
2020-01-04 23:00:00+00:00,44880.0000000000,45278.1579702424,42135.0000000000,398.1579702424,398.1579702424,0.8871612528
2020-01-05 00:00:00+00:00,42638.0000000000,43169.9947282391,40202.0000000000,531.9947282391,531.9947282391,1.2477009434
2020-01-05 01:00:00+00:00,41865.0000000000,41594.5711399205,40075.0000000000,-270.4288600795,270.4288600795,0.6459545207
2020-01-05 02:00:00+00:00,40752.0000000000,41515.2186854066,39498.0000000000,763.2186854066,763.2186854066,1.8728373709
2020-01-05 03:00:00+00:00,40754.0000000000,41483.2857419201,39325.0000000000,729.2857419201,729.2857419201,1.7894826076
2020-01-05 04:00:00+00:00,40409.0000000000,41421.4725792277,39090.0000000000,1012.4725792277,1012.4725792277,2.5055620758
2020-01-05 05:00:00+00:00,39751.0000000000,40004.4127144247,38272.0000000000,253.4127144247,253.4127144247,0.6375002250
2020-01-05 06:00:00+00:00,41953.0000000000,42383.0145954688,39156.0000000000,430.0145954688,430.0145954688,1.0249912890
2020-01-05 07:00:00+00:00,43752.0000000000,44967.0815043677,41759.0000000000,1215.0815043677,1215.0815043677,2.7772021950
2020-01-05 08:00:00+00:00,47044.0000000000,48424.3177398632,44765.0000000000,1380.3177398632,1380.3177398632,2.9340994385
2020-01-05 09:00:00+00:00,50397.0000000000,52045.4652461761,46032.0000000000,1648.4652461761,1648.4652461761,3.2709590773
2020-01-05 10:00:00+00:00,52744.0000000000,53399.6059079189,48260.0000000000,655.6059079189,655.6059079189,1.2429961852
2020-01-05 11:00:00+00:00,52825.0000000000,53115.8150426204,49349.0000000000,290.8150426204,290.8150426204,0.5505254001
2020-01-05 12:00:00+00:00,51568.0000000000,51163.1142594827,47541.0000000000,-404.8857405173,404.8857405173,0.7851492021
2020-01-05 13:00:00+00:00,50470.0000000000,50270.4744007459,46312.0000000000,-199.5255992541,199.5255992541,0.3953350490
2020-01-05 14:00:00+00:00,50177.0000000000,50157.4473226661,46671.0000000000,-19.5526773339,19.5526773339,0.0389674100
2020-01-05 15:00:00+00:00,51651.0000000000,50792.3403171823,49244.0000000000,-858.6596828177,858.6596828177,1.6624260572
2020-01-05 16:00:00+00:00,55601.0000000000,55574.0105050491,52332.0000000000,-26.9894949509,26.9894949509,0.0485413841
2020-01-05 17:00:00+00:00,56412.0000000000,56263.9228742491,52958.0000000000,-148.0771257509,148.0771257509,0.2624922459
2020-01-05 18:00:00+00:00,54808.0000000000,55168.0040811139,51943.0000000000,360.0040811139,360.0040811139,0.6568458640
2020-01-05 19:00:00+00:00,52478.0000000000,52356.8117083553,49806.0000000000,-121.1882916447,121.1882916447,0.2309316126
2020-01-05 20:00:00+00:00,50972.0000000000,50829.0729912273,48362.0000000000,-142.9270087727,142.9270087727,0.2804029835
2020-01-05 21:00:00+00:00,50438.0000000000,50576.3175146477,47950.0000000000,138.3175146477,138.3175146477,0.2742327504
2020-01-05 22:00:00+00:00,47398.0000000000,48069.5855811822,45146.0000000000,671.5855811822,671.5855811822,1.4169070028
2020-01-05 23:00:00+00:00,45225.0000000000,45399.0053011348,43026.0000000000,174.0053011348,174.0053011348,0.3847546736
2020-01-06 00:00:00+00:00,43646.0000000000,43983.8354766948,41138.0000000000,337.8354766948,337.8354766948,0.7740353679
2020-01-06 01:00:00+00:00,42812.0000000000,43032.3227904420,40026.0000000000,220.3227904420,220.3227904420,0.5146285865
2020-01-06 02:00:00+00:00,43212.0000000000,43188.6754083863,40194.0000000000,-23.3245916137,23.3245916137,0.0539771166
2020-01-06 03:00:00+00:00,44464.0000000000,43845.3011871703,41114.0000000000,-618.6988128297,618.6988128297,1.3914600864
2020-01-06 04:00:00+00:00,47111.0000000000,46582.9653408743,42845.0000000000,-528.0346591257,528.0346591257,1.1208309293
2020-01-06 05:00:00+00:00,51821.0000000000,52193.7439559251,45099.0000000000,372.7439559251,372.7439559251,0.7192913219
2020-01-06 06:00:00+00:00,57075.0000000000,58654.0093069213,48828.0000000000,1579.0093069213,1579.0093069213,2.7665515671
2020-01-06 07:00:00+00:00,59509.0000000000,60177.5461292404,51706.0000000000,668.5461292404,668.5461292404,1.1234370083
2020-01-06 08:00:00+00:00,61130.0000000000,61422.0408553025,53959.0000000000,292.0408553025,292.0408553025,0.4777373717
2020-01-06 09:00:00+00:00,62336.0000000000,62268.3552235020,53475.0000000000,-67.6447764980,67.6447764980,0.1085163894
2020-01-06 10:00:00+00:00,63191.0000000000,63143.2586767508,53629.0000000000,-47.7413232492,47.7413232492,0.0755508273
2020-01-06 11:00:00+00:00,63404.0000000000,62956.0987031249,54139.0000000000,-447.9012968751,447.9012968751,0.7064243532
2020-01-06 12:00:00+00:00,62372.0000000000,61749.8231403180,52653.0000000000,-622.1768596820,622.1768596820,0.9975259086
2020-01-06 13:00:00+00:00,61577.0000000000,61310.1396697160,52431.0000000000,-266.8603302840,266.8603302840,0.4333766346
2020-01-06 14:00:00+00:00,61264.0000000000,61000.6513037720,52719.0000000000,-263.3486962280,263.3486962280,0.4298588016
2020-01-06 15:00:00+00:00,62276.0000000000,61672.8693611502,54457.0000000000,-603.1306388498,603.1306388498,0.9684800547
2020-01-06 16:00:00+00:00,66018.0000000000,64164.2119042859,58272.0000000000,-1853.7880957141,1853.7880957141,2.8080040227
2020-01-06 17:00:00+00:00,66215.0000000000,64098.1525074368,58564.0000000000,-2116.8474925632,2116.8474925632,3.1969304426
2020-01-06 18:00:00+00:00,64831.0000000000,62872.1535982150,56927.0000000000,-1958.8464017850,1958.8464017850,3.0214656596
2020-01-06 19:00:00+00:00,61350.0000000000,59710.8506922611,53959.0000000000,-1639.1493077389,1639.1493077389,2.6718000126
2020-01-06 20:00:00+00:00,58821.0000000000,57016.2754289271,51937.0000000000,-1804.7245710729,1804.7245710729,3.0681637019
2020-01-06 21:00:00+00:00,56577.0000000000,55849.2482359608,50574.0000000000,-727.7517640392,727.7517640392,1.2863032046
2020-01-06 22:00:00+00:00,52904.0000000000,52224.2047942856,47382.0000000000,-679.7952057144,679.7952057144,1.2849599382
2020-01-06 23:00:00+00:00,50708.0000000000,49403.9732164843,44018.0000000000,-1304.0267835157,1304.0267835157,2.5716391566
2020-01-07 00:00:00+00:00,49617.0000000000,47822.1018474188,42023.0000000000,-1794.8981525812,1794.8981525812,3.6175064042
2020-01-07 01:00:00+00:00,48105.0000000000,47084.4912228695,40856.0000000000,-1020.5087771305,1020.5087771305,2.1214193475
2020-01-07 02:00:00+00:00,48553.0000000000,47181.6936647953,40388.0000000000,-1371.3063352047,1371.3063352047,2.8243493403
2020-01-07 03:00:00+00:00,50054.0000000000,48166.0683440929,40835.0000000000,-1887.9316559071,1887.9316559071,3.7717897789
2020-01-07 04:00:00+00:00,53241.0000000000,49979.3740416304,41447.0000000000,-3261.6259583696,3261.6259583696,6.1261545771
