utc_timestamp,actual_mw,forecast_mw,previous_week_mw,previous_52_weeks_mw,previous_365_days_mw,error_mw,absolute_error_mw,absolute_percentage_error
2020-01-02 20:00:00+00:00,55661.0000000000,59361.0280706892,46178.0000000000,60663.0000000000,59581.0000000000,3700.0280706892,3700.0280706892,6.6474336981
2020-01-02 21:00:00+00:00,54103.0000000000,57624.2826546361,45993.0000000000,58350.0000000000,57599.0000000000,3521.2826546361,3521.2826546361,6.5084794829
2020-01-02 22:00:00+00:00,50732.0000000000,52734.6955736013,42662.0000000000,55087.0000000000,53280.0000000000,2002.6955736013,2002.6955736013,3.9475983080
2020-01-02 23:00:00+00:00,47641.0000000000,51277.0644565817,39888.0000000000,51718.0000000000,49918.0000000000,3636.0644565817,3636.0644565817,7.6322169068
2020-01-03 00:00:00+00:00,46071.0000000000,49570.1888232859,38475.0000000000,49157.0000000000,48638.0000000000,3499.1888232859,3499.1888232859,7.5952091843
2020-01-03 01:00:00+00:00,45485.0000000000,48644.4738113678,37791.0000000000,48594.0000000000,48082.0000000000,3159.4738113678,3159.4738113678,6.9461884388
2020-01-03 02:00:00+00:00,45301.0000000000,48719.2410502322,37799.0000000000,48643.0000000000,47861.0000000000,3418.2410502322,3418.2410502322,7.5456194129
2020-01-03 03:00:00+00:00,46070.0000000000,49417.3278681893,38745.0000000000,49409.0000000000,48411.0000000000,3347.3278681893,3347.3278681893,7.2657431478
2020-01-03 04:00:00+00:00,47894.0000000000,50927.4140567240,39944.0000000000,51452.0000000000,50986.0000000000,3033.4140567240,3033.4140567240,6.3335993167
2020-01-03 05:00:00+00:00,51787.0000000000,56926.4360367851,42398.0000000000,56643.0000000000,55857.0000000000,5139.4360367851,5139.4360367851,9.9241818155
2020-01-03 06:00:00+00:00,55935.0000000000,63619.2480936772,46574.0000000000,62401.0000000000,60948.0000000000,7684.2480936772,7684.2480936772,13.7378172766
2020-01-03 07:00:00+00:00,59496.0000000000,66489.1027060966,50036.0000000000,65584.0000000000,64162.0000000000,6993.1027060966,6993.1027060966,11.7539039702
2020-01-03 08:00:00+00:00,60888.0000000000,67462.8506326625,52587.0000000000,67404.0000000000,65966.0000000000,6574.8506326625,6574.8506326625,10.7982699919
