,actual,forecast,error_MW
2020-01-07 00:00:00+01:00,50708.0,48632.82026545922,-2075.179734540783
2020-01-07 01:00:00+01:00,49617.0,46499.450396659,-3117.549603341002
2020-01-07 02:00:00+01:00,48105.0,45795.97390224983,-2309.0260977501675
2020-01-07 03:00:00+01:00,48553.0,45960.41619875667,-2592.5838012433305
2020-01-07 04:00:00+01:00,50054.0,47073.48989327116,-2980.5101067288415
2020-01-07 05:00:00+01:00,53241.0,50291.89999569751,-2949.1000043024906
2020-01-07 06:00:00+01:00,60420.0,57864.52415570337,-2555.4758442966267
2020-01-07 07:00:00+01:00,66527.0,64595.1934108334,-1931.8065891665974
2020-01-07 08:00:00+01:00,69198.0,67290.35051595341,-1907.6494840465894
2020-01-07 09:00:00+01:00,69408.0,67835.53829291418,-1572.4617070858221
2020-01-07 10:00:00+01:00,69896.0,68605.93503055992,-1290.0649694400781
2020-01-07 11:00:00+01:00,70089.0,69604.49714380242,-484.5028561975778
2020-01-07 12:00:00+01:00,69367.0,69331.07944495438,-35.920555045624496
2020-01-07 13:00:00+01:00,69465.0,68826.3982439879,-638.6017560120963
2020-01-07 14:00:00+01:00,68854.0,67955.3181086452,-898.681891354805
2020-01-07 15:00:00+01:00,68089.0,67455.30201581294,-633.6979841870634
2020-01-07 16:00:00+01:00,68574.0,68081.44459199242,-492.5554080075817
2020-01-07 17:00:00+01:00,70914.0,70904.12490011338,-9.875099886616226
2020-01-07 18:00:00+01:00,70678.0,70724.58637730812,46.58637730812188
2020-01-07 19:00:00+01:00,68990.0,68819.76052657864,-170.23947342135943
2020-01-07 20:00:00+01:00,65235.0,64944.274758467756,-290.7252415322437
2020-01-07 21:00:00+01:00,61997.0,61511.5972373691,-485.40276263090345
2020-01-07 22:00:00+01:00,59030.0,59167.24438246486,137.24438246485806
2020-01-07 23:00:00+01:00,55343.0,54847.11332405526,-495.886675944741
