origin,model,MAE (MW),RMSE (MW),MAPE (%),Bias (MW),Max |err| (MW)
2019-11-12 00:00:00+01:00,calendar+lags,1488.8155666333578,1844.86854282465,2.6456443351058385,1273.3874415976943,5392.924524989103
2019-11-12 00:00:00+01:00,naive_last_week,1123.1607142857142,1413.0848409975754,1.9579117960790753,-341.5059523809524,3488.0
2019-11-19 00:00:00+01:00,calendar,1187.0809291024755,1449.5001680869582,1.9455885690162416,1055.2762894075124,3732.182215145818
2019-11-19 00:00:00+01:00,calendar+lags,1153.4056697771168,1395.2336861088945,1.9410444652348806,991.9355594680598,3375.202517166792
2019-11-19 00:00:00+01:00,naive_last_week,1084.7857142857142,1274.1734015207103,1.863062400195949,-792.9642857142857,3035.0
2019-11-26 00:00:00+01:00,calendar,2272.5526261811215,2543.6021739612097,3.895169501736726,2025.4443127463574,5116.324988537934
2019-11-26 00:00:00+01:00,calendar+lags,2421.7042633850556,2676.8698410139214,4.197997394996077,2336.815768272933,4597.3904499757045
2019-11-26 00:00:00+01:00,naive_last_week,1256.952380952381,1503.8461048733868,2.116007050628977,122.48809523809524,5061.0
2019-12-03 00:00:00+01:00,calendar,1567.4889951796424,1847.555156610989,2.6437299283657354,741.7459125924811,4146.85136248661
2019-12-03 00:00:00+01:00,calendar+lags,989.6353407220158,1219.40329513574,1.68625858783469,-39.00930209379151,3218.810870855268
2019-12-03 00:00:00+01:00,naive_last_week,2144.815476190476,2469.385822281669,3.563913971354233,-1769.2559523809523,5386.0
2019-12-10 00:00:00+01:00,calendar,1425.8606139161693,1742.2616670462758,2.5034880519094247,1107.7812061303198,3525.4368533985253
2019-12-10 00:00:00+01:00,calendar+lags,1297.1065855161382,1587.6917375993619,2.2171491242661565,760.9133440839888,3687.9433309560845
2019-12-10 00:00:00+01:00,naive_last_week,1280.375,1561.3377258132268,2.1441942037816313,469.625,3770.0
2019-12-17 00:00:00+01:00,calendar,2688.653312994937,3141.760325771941,4.746101815291724,2442.0025327672647,6644.646108863497
2019-12-17 00:00:00+01:00,calendar+lags,3848.3441719391503,4296.694166657875,6.9757952268005425,3838.4382480087197,8765.587861375818
2019-12-17 00:00:00+01:00,naive_last_week,5606.476190476191,6377.371062331771,10.294867767796033,5606.476190476191,16507.0
2019-12-24 00:00:00+01:00,calendar,1808.2200704091654,2119.64872773256,3.9731809942289744,1409.7682470412885,4666.0572536543405
2019-12-24 00:00:00+01:00,calendar+lags,3196.2050378172175,3835.989247769683,6.93010467173754,3114.6792057158036,10905.101357810432
2019-12-24 00:00:00+01:00,naive_last_week,9077.083333333334,11820.599398628528,20.12486353883968,8958.440476190477,27798.0
