ds,trend
2015-07-15,55422.14777211989
2015-07-16,55437.88869096767
2015-07-17,55453.62960981546
2015-07-18,55469.37052866325
2015-07-19,55485.11144751104
2015-07-20,55500.85236635882
2015-07-21,55516.59328520661
2015-07-22,55532.334204054394
2015-07-23,55548.07512290218
2015-07-24,55563.816041749975
2015-07-25,55579.55696059776
2015-07-26,55595.29787944554
2015-07-27,55611.038798293324
2015-07-28,55626.779717141115
2015-07-29,55642.520635988905
2015-07-30,55658.26155483669
2015-07-31,55674.00247368448
2015-08-01,55689.74339253226
2015-08-02,55705.484311380045
2015-08-03,55721.225230227836
2015-08-04,55736.966149075626
2015-08-05,55752.70706792341
2015-08-06,55768.44798677119
2015-08-07,55784.18890561899
2015-08-08,55799.92982446677
2015-08-09,55815.67074331456
2015-08-10,55831.41166216235
2015-08-11,55847.15258101013
2015-08-12,55862.89349985791
2015-08-13,55878.634418705704
2015-08-14,55894.375337553494
2015-08-15,55910.11625640128
2015-08-16,55925.85717524906
2015-08-17,55941.59809409686
2015-08-18,55957.33901294464
2015-08-19,55973.079931792425
2015-08-20,55988.820850640215
2015-08-21,56004.561769488
2015-08-22,56020.30268833578
2015-08-23,56028.52386111696
2015-08-24,56018.48279345065
2015-08-25,56008.44172578434
2015-08-26,55998.40065811802
2015-08-27,55988.359590451706
2015-08-28,55978.31852278539
2015-08-29,55968.27745511908
2015-08-30,55958.23638745276
2015-08-31,55948.19531978645
2015-09-01,55938.15425212014
2015-09-02,55928.113184453825
2015-09-03,55918.07211678751
2015-09-04,55908.03104912119
2015-09-05,55897.989981454884
2015-09-06,55887.94891378856
2015-09-07,55877.90784612225
2015-09-08,55867.86677845594
2015-09-09,55857.82571078962
2015-09-10,55847.784643123305
2015-09-11,55837.743575456996
2015-09-12,55827.70250779069
2015-09-13,55817.661440124364
2015-09-14,55807.620372458055
2015-09-15,55797.57930479174
2015-09-16,55787.53823712542
2015-09-17,55777.49716945911
2015-09-18,55767.4561017928
2015-09-19,55757.41503412649
2015-09-20,55747.37396646017
2015-09-21,55737.33289879386
2015-09-22,55727.29183112754
2015-09-23,55717.25076346123
2015-09-24,55707.20969579491
2015-09-25,55697.1686281286
2015-09-26,55687.127560462286
2015-09-27,55677.08649279597
2015-09-28,55667.045425129654
2015-09-29,55657.004357463346
2015-09-30,55646.96328979702
2015-10-01,55636.92222213071
2015-10-02,55626.881154464405
2015-10-03,55616.84008679809
2015-10-04,55606.79901913177
2015-10-05,55596.75795146546
2015-10-06,55586.71688379915
2015-10-07,55576.675816132825
2015-10-08,55566.63474846652
2015-10-09,55556.59368080021
2015-10-10,55546.55261313389
2015-10-11,55536.511545467576
2015-10-12,55526.47047780126
2015-10-13,55516.42941013495
2015-10-14,55506.38834246863
2015-10-15,55496.34727480232
2015-10-16,55486.306207136004
2015-10-17,55476.265139469695
2015-10-18,55466.22407180337
2015-10-19,55456.18300413706
2015-10-20,55446.141936470754
2015-10-21,55433.27145633368
2015-10-22,55419.83509370246
2015-10-23,55406.39873107124
2015-10-24,55392.96236844002
2015-10-25,55379.52600580881
2015-10-26,55366.08964317759
2015-10-27,55352.65328054637
2015-10-28,55339.21691791515
2015-10-29,55325.780555283935
2015-10-30,55312.344192652716
2015-10-31,55298.9078300215
2015-11-01,55285.471467390285
2015-11-02,55272.03510475907
2015-11-03,55258.59874212785
2015-11-04,55245.16237949663
2015-11-05,55231.72601686541
2015-11-06,55218.2896542342
2015-11-07,55204.85329160298
2015-11-08,55191.41692897176
2015-11-09,55177.980566340535
2015-11-10,55164.544203709316
2015-11-11,55151.1078410781
2015-11-12,55137.67147844688
2015-11-13,55124.23511581567
2015-11-14,55110.79875318445
2015-11-15,55097.36239055323
2015-11-16,55083.92602792201
2015-11-17,55070.48966529079
2015-11-18,55057.05330265958
2015-11-19,55043.61694002836
2015-11-20,55030.18057739714
2015-11-21,55016.744214765924
2015-11-22,55003.307852134705
2015-11-23,54989.87148950349
2015-11-24,54976.435126872275
2015-11-25,54962.998764241056
2015-11-26,54949.56240160984
2015-11-27,54936.12603897862
2015-11-28,54922.6896763474
2015-11-29,54909.25331371617
2015-11-30,54895.81695108497
2015-12-01,54882.38058845374
2015-12-02,54868.944225822524
2015-12-03,54855.507863191306
2015-12-04,54842.07150056009
2015-12-05,54828.63513792887
2015-12-06,54815.19877529766
2015-12-07,54801.76241266644
2015-12-08,54788.32605003522
2015-12-09,54774.889687404
2015-12-10,54761.45332477278
2015-12-11,54748.01696214156
2015-12-12,54734.58059951035
2015-12-13,54721.14423687913
2015-12-14,54707.70787424791
2015-12-15,54694.271511616695
2015-12-16,54680.835148985476
2015-12-17,54667.39878635426
2015-12-18,54664.844230246956
2015-12-19,54677.52420327314
2015-12-20,54690.20417629933
2015-12-21,54702.88414932552
2015-12-22,54715.56412235171
2015-12-23,54728.244095377886
2015-12-24,54740.92406840408
2015-12-25,54753.60404143026
2015-12-26,54766.28401445645
2015-12-27,54778.96398748264
2015-12-28,54791.64396050882
2015-12-29,54804.323933535015
2015-12-30,54817.0039065612
2015-12-31,54829.68387958739
2016-01-01,54842.36385261358
2016-01-02,54855.04382563977
2016-01-03,54867.72379866595
2016-01-04,54880.403771692145
2016-01-05,54893.08374471833
2016-01-06,54905.76371774452
2016-01-07,54918.443690770706
2016-01-08,54931.12366379688
2016-01-09,54943.803636823075
2016-01-10,54956.48360984926
2016-01-11,54969.16358287545
2016-01-12,54981.843555901636
2016-01-13,54994.52352892783
2016-01-14,55007.20350195401
2016-01-15,55019.883474980204
2016-01-16,55032.56344800639
2016-01-17,55045.24342103258
2016-01-18,55057.923394058766
2016-01-19,55070.60336708496
2016-01-20,55083.28334011114
2016-01-21,55095.96331313733
2016-01-22,55108.64328616352
2016-01-23,55121.3232591897
2016-01-24,55134.003232215895
2016-01-25,55146.68320524207
2016-01-26,55159.363178268264
2016-01-27,55172.04315129445
2016-01-28,55184.72312432064
2016-01-29,55197.403097346825
2016-01-30,55210.08307037302
2016-01-31,55222.7630433992
2016-02-01,55235.44301642539
2016-02-02,55248.12298945158
2016-02-03,55260.80296247776
2016-02-04,55273.482935503955
2016-02-05,55286.16290853014
2016-02-06,55298.84288155633
2016-02-07,55311.522854582516
2016-02-08,55324.20282760871
2016-02-09,55336.88280063489
2016-02-10,55349.562773661084
2016-02-11,55362.24274668726
2016-02-12,55374.92271971345
2016-02-13,55387.60269273964
2016-02-14,55400.28266576583
2016-02-15,55407.28098953215
2016-02-16,55414.27931329846
2016-02-17,55421.27763706476
2016-02-18,55428.27596083107
2016-02-19,55435.274284597384
2016-02-20,55442.272608363695
2016-02-21,55449.27093213
2016-02-22,55456.26925589632
2016-02-23,55463.26757966263
2016-02-24,55470.26590342894
2016-02-25,55477.26422719524
2016-02-26,55484.262550961554
2016-02-27,55491.260874727865
2016-02-28,55498.25919849418
2016-02-29,55505.25752226049
2016-03-01,55512.2558460268
2016-03-02,55519.25416979311
2016-03-03,55526.25249355942
2016-03-04,55533.25081732572
2016-03-05,55540.24914109204
2016-03-06,55547.24746485835
2016-03-07,55554.24578862466
2016-03-08,55561.24411239097
2016-03-09,55568.24243615728
2016-03-10,55575.24075992359
2016-03-11,55582.23908368991
2016-03-12,55589.23740745621
2016-03-13,55596.23573122252
2016-03-14,55603.23405498883
2016-03-15,55610.23237875514
2016-03-16,55617.23070252145
2016-03-17,55624.22902628776
2016-03-18,55631.227350054076
2016-03-19,55638.22567382039
2016-03-20,55645.22399758669
2016-03-21,55652.222321353
2016-03-22,55659.22064511931
2016-03-23,55666.21896888562
2016-03-24,55673.21729265194
2016-03-25,55680.215616418245
2016-03-26,55687.213940184556
2016-03-27,55694.21226395087
2016-03-28,55701.21058771717
2016-03-29,55708.20891148348
2016-03-30,55715.2072352498
2016-03-31,55722.20555901611
2016-04-01,55729.20388278242
2016-04-02,55736.202206548725
2016-04-03,55743.200530315036
2016-04-04,55750.19885408135
2016-04-05,55757.19717784765
2016-04-06,55764.19550161397
2016-04-07,55771.19382538028
2016-04-08,55778.19214914659
2016-04-09,55785.1904729129
2016-04-10,55792.188796679206
2016-04-11,55799.18712044552
2016-04-12,55806.185444211835
2016-04-13,55808.212824857364
2016-04-14,55806.034022862244
2016-04-15,55803.85522086713
2016-04-16,55801.67641887201
2016-04-17,55799.49761687689
2016-04-18,55797.31881488177
2016-04-19,55795.14001288665
2016-04-20,55792.96121089153
2016-04-21,55790.78240889641
2016-04-22,55788.60360690129
2016-04-23,55786.42480490617
2016-04-24,55784.24600291105
2016-04-25,55782.06720091594
2016-04-26,55779.88839892082
2016-04-27,55777.7095969257
2016-04-28,55775.53079493058
2016-04-29,55773.35199293546
2016-04-30,55771.17319094034
2016-05-01,55768.99438894522
2016-05-02,55766.8155869501
2016-05-03,55764.63678495498
2016-05-04,55762.457982959866
2016-05-05,55760.279180964746
2016-05-06,55758.100378969626
2016-05-07,55755.921576974506
2016-05-08,55753.742774979386
2016-05-09,55751.563972984266
2016-05-10,55749.385170989146
2016-05-11,55747.206368994026
2016-05-12,55745.027566998906
2016-05-13,55742.848765003786
2016-05-14,55740.66996300867
2016-05-15,55738.49116101355
2016-05-16,55736.31235901843
2016-05-17,55734.13355702331
2016-05-18,55731.95475502819
2016-05-19,55729.77595303307
2016-05-20,55727.59715103795
2016-05-21,55725.41834904283
2016-05-22,55723.23954704771
2016-05-23,55721.06074505261
2016-05-24,55718.88194305749
2016-05-25,55716.70314106237
2016-05-26,55714.52433906725
2016-05-27,55712.34553707213
2016-05-28,55710.16673507701
2016-05-29,55707.98793308189
2016-05-30,55705.80913108677
2016-05-31,55703.63032909165
2016-06-01,55701.45152709653
2016-06-02,55699.272725101415
2016-06-03,55697.093923106295
2016-06-04,55694.915121111175
2016-06-05,55692.736319116055
2016-06-06,55690.557517120935
2016-06-07,55688.378715125815
2016-06-08,55686.199913130695
2016-06-09,55684.021111135575
2016-06-10,55681.84013880573
2016-06-11,55679.64397413274
2016-06-12,55677.44780945974
2016-06-13,55675.25164478676
2016-06-14,55673.05548011377
2016-06-15,55670.859315440786
2016-06-16,55668.663150767796
2016-06-17,55666.466986094805
2016-06-18,55664.27082142182
2016-06-19,55662.07465674883
2016-06-20,55659.87849207584
2016-06-21,55657.68232740286
2016-06-22,55655.48616272986
2016-06-23,55653.28999805688
2016-06-24,55651.093833383886
2016-06-25,55648.897668710895
2016-06-26,55646.70150403791
2016-06-27,55644.50533936492
2016-06-28,55642.30917469193
2016-06-29,55640.11301001895
2016-06-30,55637.91684534596
2016-07-01,55635.720680672974
2016-07-02,55633.52451599998
2016-07-03,55631.328351326985
2016-07-04,55629.132186654
2016-07-05,55626.93602198101
2016-07-06,55624.73985730802
2016-07-07,55622.54369263504
2016-07-08,55620.34752796205
2016-07-09,55618.151363289064
2016-07-10,55615.95519861607
2016-07-11,55613.75903394308
2016-07-12,55611.5628692701
2016-07-13,55609.3667045971
2016-07-14,55607.17053992411
2016-07-15,55604.97437525113
2016-07-16,55602.77821057814
2016-07-17,55600.582045905154
2016-07-18,55598.38588123216
2016-07-19,55596.18971655917
2016-07-20,55593.99355188619
2016-07-21,55591.7973872132
2016-07-22,55589.6012225402
2016-07-23,55587.40505786722
2016-07-24,55585.20889319423
2016-07-25,55583.012728521244
2016-07-26,55580.81656384825
2016-07-27,55578.62039917526
2016-07-28,55576.42423450228
2016-07-29,55574.22806982929
2016-07-30,55572.0319051563
2016-07-31,55569.835740483315
2016-08-01,55567.639575810324
2016-08-02,55565.44341113734
2016-08-03,55563.24724646434
2016-08-04,55561.05108179135
2016-08-05,55558.85491711837
2016-08-06,55556.65875244538
2016-08-07,55554.462587772396
2016-08-08,55554.63853005328
2016-08-09,55555.79122225633
